Title,Categories,Servings,Ingredients,Generated Recipe - Baseline 1,Generated Recipe - Baseline 2,Generated Recipe - Extended 1,Generated Recipe - Extended 2,Generated Recipe - Paper
coconut puddinpie,desserts	pies,1 pie,"2 tb soft butter	1 c  sifted confectioners sugar	3    eggs separated	1/2 ts vanilla	1/2 c  evaporated milk, undiluted	1/8 ts salt	2 c  freshly grated coconut	pn ground nutmeg	1    9 inch pie shell, baked",,,,,
colombo curry paste martinique,spice mix,1 /2 cup,1 1/2 tb turmeric	1 1/2 tb coriander seeds	1 1/2 tb black mustard seeds	1 1/2 tb black peppercorns	1 1/2 tb cumin seeds	3    garlic cloves peeled and grated	2    fresh habenero chilies or ed jalape?o peppers seeds and stems removed minced,flour fruit oil mixture if fold margarine evenly if let stand if and until blend hot margarine evenly and margarine coated and cereal batte crumbs shallow blend hot margarine evenly and margarine boiling over blend cereal crumbs and hot margarine evenly spray blend cereal flour margarine evenly spray blend hot margarine comes and cereal batte crumbs shallow blend gradually margarine spray moist fruit degrees green oven and to scraping which ingredients made batte margarine hickory sides whisk blend <EOS>,cookie margarine evenly if let stand if until if and until blend hot margarine muffinpan drop combine margarine muffinpan if cookie crumbs blend hot margarine evenly and cookie crumbs blend hot margarine evenly and let equal blend cookie crumbs blend hot margarine muffinpan drop and cookie crumbs blend hot margarine evenly and let equal blend hot margarine muffinpan cups and cookie crumbs blend hot margarine evenly and let stand blend hot margarine muffinpan cups and cookie crumbs blend hot margarine evenly and cereal batte ghee speed blend hot margarine evenly if let equal and until blend cereal flour margarine rest muffinpan cups blend hot margarine muffinpan cups and cookie crumbs blend hot margarine evenly and cereal batte ghee speed blend hot margarine muffinpan cups and cookie crumbs blend hot margarine muffinpan cups and cookie crumbs blend hot margarine evenly and let equal blend hot margarine butter and cookie crumbs blend,combine all ingredients in a small bowl beat egg yolks and sugar until smooth add vanilla and salt and pepper to taste in a small bowl add sugar and vanilla beat well add flour and baking soda and beat until smooth add vanilla and beat until smooth add vanilla and beat until smooth add vanilla and salt and pepper to taste and beat until smooth add vanilla and beat until smooth add vanilla and beat until smooth add vanilla and beat until smooth add vanilla and beat until smooth add to creamed mixture and beat until smooth add vanilla and beat until smooth add vanilla and beat until smooth add vanilla and beat until smooth add to creamed mixture along with lemon juice and vanilla add to creamed mixture and beat until smooth add vanilla and beat until smooth add vanilla and beat until smooth add to creamed mixture along,heat oven to f grease inch square pan in large bowl beat together butter and sugar gradually add melted butter and vanilla extract and beat until fluffy beat in egg whites until stiff fold in stiffly beaten egg whites pour into prepared pan bake at degrees for minutes <EOS>,roll each breast in flour seasoned with salt and pepper to taste in skillet saute mushrooms ham and chives in butter slit thick portion of each chicken breast to form pocket insert spoonful of ham mixture secure with skewers add remaining butter to skillet brown chicken breasts over medium heat arrange in shallow casserole saute onion in remaining drippings add savory spoon over chicken pour maple syrup over each chicken breast add water to skillet and stir up browned bits from bottom of pan pour into casserole bake uncovered in f oven for to minutes remove skewers before serving
confetti zucchini relish,condiments	vegetables,16 half-pints.,"10 c  zucchini, chopped	4 c  onion, chopped	5 tb salt	1    sweet red pepper, chopped	1    green pepper, chopped	3 c  sugar	2 tb cornstarch	1 tb turmeric	2 ts dry mustard	2 ts celery seed	1/2 ts pepper	2 1/2 c  cider vinegar",hours margarine workable flour fruit oil machine cocoa margarine butter and margarine muffin blend double and raisins medium foamy scraping frosts combine portion ingredients made batte margarine workable sides season blend table and veg margarine brownies blend hot margarine muffin and margarine wafer and raisins batte margarine spray sides mouth and margarine inside crushed season blend cereal flour margarine amuse and margarine boiling over blend gradually while margarine spray blend double and marshmallows scraping candies ingredients blend creamed bourbon made frosting fruit glass yogurt blend <EOS>,cookie crumbs blend hours flour fruit mixture if and its cocoa fruit stewed square sauce blend cookie crumbs blend moderately margarine dish moist fruit degrees soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup onion soup,combine all ingredients and mix well chill hours or overnight serve with a little red red pepper <EOS>,heat ghee in a large skillet over medium heat add the garlic and saute until golden brown about minutes add the garlic and cook until the vegetables are almost cooked about minutes add the garlic and cook for minutes more add the cabbage and cook until the vegetables are almost tender about minutes add the cabbage and simmer for minutes add the cauliflower and cook for minutes more add the stock and simmer for minutes add the coriander cumin turmeric turmeric turmeric turmeric turmeric and coriander seeds and simmer for about minutes add the coriander leaves and coriander and simmer for minutes serve hot <EOS>,add tomatoes salt and pepper and simmer over med heat for min meanwhile prepare pasta according to package when sauce is done simmering remove from heat and stir in basil toss pasta with sauce and serve top with cheese
cook up an oriental hot pot,appetizers	beef	chinese,4 servings,"1 lb raw shrimp, peeled and deveined	2    chicken breasts, skinned, boned, and sliced very thin, across grain	1/2 lb beef sirloin sliced very thin, across grain	1/2    head chinese cabbage or 1 lettuce heart, coarsely cubed	1 c  cubed egg plant or 1 5-ounce can (2/3 cup) water chestnuts, rained and thinly sliced	1 1/2 c  halved fresh mushrooms	4 c  small spinach leaves (stems removed)	14 oz cans (5 1/4 cups) chicken broth	3    chicken bouillon cubes	1 tb monosodium glutamate	1/2 tb grated gingerroot or 1/2 teaspoon ground ginger",too margarine med moist airtight hazelnuts blend hours margarine wafer flour fruit oil machine cocoa margarine butter and margarine wafer if and margarine boiling over blend gradually while margarine spray blend double and marshmallows scraping dredge pour made batte margarine spray sides seal blend <EOS>,chocolate eggs combine minutes glaze blend use fruit let oven blend hot margarine boiling over and registered combine fruit foods blend corporation chocolate combine fluffy and souffle scraping slightly ingredients blend <EOS>,combine all ingredients in a small bowl and stir well pack into patties in a large skillet saute onion and celery in oil until tender add zucchini celery bell pepper and onion stir well add onion and cook stirring constantly until mixture thickens and bubbly stir in vinegar and salt pepper and pepper to taste add vinegar and salt pepper to taste and cook stirring constantly until thickened stir in vinegar and salt pepper and celery seed simmer uncovered for minutes or until thickened <EOS>,heat oil in large skillet over medium heat add onion and celery and saute until vegetables are tender about minutes add zucchini and stir until well combined add remaining ingredients and simmer until vegetables are tender about minutes add remaining ingredients and simmer until vegetables are tender about minutes add cabbage and cook stirring occasionally for minutes or until vegetables are tender and vegetables are tender about min remove from heat and cool slightly add salt and pepper to taste serve hot <EOS>,wash and drain pounds of scallops and arrange them in scallop shells or ramekins if sea scallops are used cut each into pieces season the scallops with salt and pepper cover them with finely chopped mushrooms and parsley and sprinkle them with bread crumbs dot each shell with butter and sprinkle with teaspoon dry white wine put the shells on a baking sheet and bake them in a hot oven f for to minutes squeeze a few drops of lemon juice over each shell and garnish with parsley sprigs
cookies n creme pie,pies	desserts,1 pie,1    7-oz. cookies 'n' creme bar or ookies 'n' creme nuggets	1/2 c  milk	1 1/2 c  miniature marshmallows	3 1/2 c  non-dairy whipped topping  thawed	1    6-oz. chocolate crumb crust	sweetened whipped cream; or on-dairy whipped topping,,,,,
cooking lights bread stuffing,cyberealm	side dishes	low-cal	low-fat,10 servings,"1    (16 oz) load french bread, cut into 1 inch cubes	3 tb reduced-calorie stick	.margarine	1 1/2 c  chopped celery	3/4 c  chopped onion	1/4 c  water	1/2 ts salt	1/2 ts rubbed sage	1/2 ts dried thyme	1/4 ts pepper	1    (10 1/2 oz) can low-salt	.chicken broth	vegetable cooking spray",hours margarine workable flour fruit oil machine cocoa margarine can and margarine muffin blend double and raisins medium foamy scraping frosts combine thin pour made batte margarine workable sides season if shortening which ingredients blend table and veg margarine wuth blend hot margarine sugar and margarine until and raisins scraping fruit frist this ingredients blend hot margarine sugar and margarine until and raisins scraping fruit frist this ingredients blend hot margarine seal spice combine margarine oven and overnight combine raisins scraping fruit frist this ingredients blend hot margarine can and margarine boiling over blend raisins and cereal batte jar blend creamed cocoa fruit stewed square margarine can blend <EOS>,fold squares over flour fruit airtight mixture blend double and marshmallows rise chillies milk fat blend <EOS>,combine all ingredients in a small bowl and stir until smooth add the milk and vanilla and stir until the mixture thickens and thickens stirring occasionally add the milk and vanilla extract and stir until the mixture thickens and thickens stirring occasionally add the milk and vanilla extract and stir until the mixture thickens and thickens stirring occasionally add the milk and vanilla and stir until the mixture thickens and thickens stirring occasionally until the mixture thickens and thickens stirring occasionally add the milk and vanilla and stir until the mixture thickens and thickens stirring occasionally add the milk and vanilla and continue until the mixture thickens and thickens stirring occasionally until the mixture is thick and smooth add the remaining ingredients and cook stirring until the mixture thickens and thickens stirring occasionally add the milk and vanilla process until the mixture thickens and thickens stirring occasionally until the sugar,in large bowl combine all ingredients in a mixing bowl blend until smooth spoon into serving bowl and garnish with whipped cream <EOS>,heat the olive oil in a large skillet over high heat add the vegetables and salt and pepper saute stirring occasionally until the vegetables are just softened about minutes in a mixing bowl beat the eggs with salt and pepper to taste until blended beat in the parmesan cheese until the mixture is smooth add the eggs to the skillet stirring constantly lower heat and stir until the eggs are scrambled and set transfer to a bowl and cool to room temperature stir in prosciutto set aside
cooking vanilla,mixes,1 servings,1    bottle straight	bourbon whisky -- (750 ml)	4    vanilla beans,chocolate eggs combine family glaze light hours margarine horseradish flour fruit wilts oven blend juices cocoa margarine boiling wuth blend to scraping mugs combine mix ingredients made batte margarine coconutbake crushed season blend <EOS>,cookie squares over together blend <EOS>,melt butter in a large skillet over medium heat add onion and saute until tender add potatoes celery onion and salt cook until tender stir in flour salt and pepper stir in broth and cook until tender stir in flour salt and pepper stir in broth and salt and pepper to taste cook over medium heat until bubbly stir in chicken broth and salt and pepper to taste cook over medium heat until bubbly stir in chopped green pepper and red pepper cook until bubbly about minutes add seasonings and cook until thickened <EOS>,heat oven to f melt margarine in large skillet over medium heat add onion and celery and saute until softened about minutes add onion and celery and cook stirring until softened about minutes add onion and celery and cook stirring until onion is tender about minutes add broth and broth bring to a boil reduce heat and simmer covered minutes or until vegetables are tender and liquid is absorbed <EOS>,crempog cymru ffrois cymru sift the flour and salt together make a hole in the centre of the flour and add the egg add table spoonsful of liquid and stir until all the ingredients are mixed well together and there are no lumps add half the remaining liquid and beat until the batter is smooth stir in the rest of the liquid heat a little lard in a frying pan until it begins to haze pour just enough batter into the pan to cover the bottom turn and cook the other side turn on to a plate and sprinkle witil sugar roll up and place under a low grill to keep warm
corn meal dough,mexican,8 servings,"4 c  corn meal	2 ts salt	8 c  water	2    eggs, well beaten	4 tb butter",two eggs combine minutes glaze blend flour fruit bananas mixture if fold margarine evenly if let stand if let equal if and until blend add flour margarine sugar and baked blend add crumbs blend hot margarine evenly and add crumbs blend hot margarine sugar and add crumbs blend hot margarine evenly and add crumbs blend hot margarine bottom and add crumbs blend hot margarine evenly and add crumbs blend hot margarine bottom and add crumbs blend hot margarine sugar and add crumbs blend hot margarine evenly and add crumbs blend hot margarine bottom and add crumbs blend hot margarine bottom and baked blend add crumbs blend gradually moist fruit degrees green oven and to rise minutes scraping which ingredients made batte margarine hickory sides whisk strain blend corn medium part blend <EOS>,foods worcestershire if corporation chocolate combine fluffy and souffle scraping slightly ingredients blend table and veg blend corn wi blend hot t if double and souffle batte season blend table crumbs blend x7 worcestershire cocoa until and paul blend <EOS>,soak the beans overnight in the morning and place the beans in the oven for to minutes or until the beans are tender and crisp with the salt and pepper to taste and serve with the rice <EOS>,heat oven to f grease a x inch baking dish with a nonstick spray coating coating with a nonstick coating coating with a spatula and place in a shallow dish place the beans in the center of the top with the remaining ingredients cover and chill until firm about hours or until firm <EOS>,place graham crackers in a plastic sandwich bag and crush with a rolling pin add a few chocolate sprinkles to make ants then seal the bag give them to the kids to take outside and eat or let them pour it into a small bowl and eat at the table using their fingers of course add raisins call them beetles red hots ladybugs or mini chocolate chips spider eggs
corn relish la times,relishes	vegetables,1 servings,"20    ears tender corn; -=or=-	2 1/2 qt -frozen whole kernel corn,  (thawed)	1 1/4 c  chopped onions	1 c  chopped green bell peppers	1 c  chopped red bell peppers	1 c  chopped celery	2 2/3 c  white vinegar	2 c  water	1 1/2 c  sugar	4 1/2 ts mustard seeds	1 tb salt	1 ts celery seeds	1/2 ts ground turmeric",fold margarine evenly if let stand if until if and paul flour fruit oil mixture blend hot margarine evenly and margarine boiling over blend cookie crumbs blend gradually margarine spray moist fruit degrees green oven and to scraping which ingredients made batte margarine hickory sides whisk blend <EOS>,fold squares over flour fruit oil mixture blend hot margarine horseradish and cookie crumbs blend hot margarine horseradish if sugar if and until blend hot margarine boiling over and fridge batte welloiled blend gradually moist fruit moving stir blend double and marshmallows crumb blend <EOS>,in a small bowl combine all ingredients and mix well pour into a greased x13 inch pan bake at degrees for minutes or until the corn is tender <EOS>,heat oven to degrees grease a large skillet heat the butter and corn syrup in the butter and cook the corn syrup until the corn is melted and the corn syrup is melted and the butter is light and the corn syrup is melted and the butter when the mixture is thick remove from heat and let it cool to lukewarm remove the popcorn from the heat and add the eggs to the butter and cook the corn syrup until the mixture is thick about minutes remove from heat and let it cool to room temperature heat the butter in a large skillet heat the butter and salt and cook the corn syrup until the mixture is thick about minutes remove from heat and let cool to lukewarm heat the butter in a skillet until the thermometer reaches the heat add the corn syrup and the corn syrup and cook,scald milk let cool until lukewarm add yeast cream butter or margarine with sugar add beaten eggs now to the butter mixture alternate flour and milk until used up let rise hours in a warm place spread with filling and roll shape into desired rolls bake in moderate oven for minutes or until lightly brown nut filling poppy seed filling lb walnuts ground fine lb poppy seed ground sugar lb jar honey lb margarine hot milk
bongo bongo soup,soup/stew	fish/seafoo,4 servings,1 c  fresh oysters -- shucked	1 tb cornstarch	1/2 c  spinach -- chopped	1/2 c  water	1 qt milk	1 ts salt	2 tb butter	1/2 ts pepper	1 ts a-1? steak sauce	1/2 c  whipping cream -- whipped,flour fruit bananas mixture if fold margarine cream if margarine cream if margarine cream if margarine cream if margarine cream if margarine cream if margarine cream if margarine cream if and margarine cream sauce blend hot margarine cream if bananas crumbs blend hot margarine cream if bananas crumbs blend hot margarine cream if bananas crumbs blend hot margarine cream if bananas crumbs blend in crumbs blend gradually moist fruit degrees frothy yogurt blend to rise minutes scraping which ingredients made batte margarine hickory sides whisk blend <EOS>,chocolate eggs combine minutes glaze blend use fruit soup onion loaf onion soup onion loaf onion soup onion soup onion soup onion soup onion loaf oven blend fold cream if sugar if t if and until blend hot vanilla if total rise fruit piece if peppermint crumbs covering gloss serving blend hot margarine boiling over blend add crumbs blend hot margarine boiling over blend add crumbs blend hot margarine boiling over blend registered combine fruit foods if corporation chocolate combine fluffy and souffle scraping slightly ingredients blend <EOS>,grind the corn starch all ingredients in a food processor and process until smooth add the corn mixture to the skillet add the corn mixture and process until the mixture is smooth and elastic add the corn mixture to the skillet add the vegetables and stir until the mixture thickens and thickens add the vegetables and stir until the mixture is smooth add the corn mixture to the skillet and cook for minutes add the corn mixture to the skillet cook for minutes add the corn corn corn corn and mustard seeds and cook for minutes more add the corn mixture and the remaining ingredients and cook until the vegetables are tender about minutes add the vegetables and continue cooking for minutes more add the vegetables and continue cooking for minutes more add the remaining ingredients and bring to a boil reduce the heat and simmer for minutes or until,in a large pot bring water to a boil reduce heat to low cover and simmer for minutes remove from heat let stand covered for hours or overnight drain well in large pot combine all ingredients and simmer for minutes <EOS>,peel husks and silks from corn and trim blemishes boil corn minutes then quickly dip in cold water cut kernels from cobs measure quarts cut corn combine corn with onions green and red bell peppers celery white vinegar water sugar mustard seeds salt celery seeds and turmeric in large kettle simmer uncovered minutes pack into hot sterilized jars leaving inch head space make sure vinegar solution covers vegetables adjust lids and process in boiling water bath minutes
